msme_id,month,avg_balance,inflow,outflow,bounce_count,overdraft_days
msme_annapurna_002,2024-07-01,40721.57,414088.61,399869.17,3,12
msme_annapurna_002,2024-08-01,38971.1,429066.37,364895.87,1,18
msme_annapurna_002,2024-09-01,40765.99,440475.6,390806.67,1,13
msme_annapurna_002,2024-10-01,54817.69,612170.04,589824.69,3,14
msme_annapurna_002,2024-11-01,29600.96,306129.2,318413.04,2,17
msme_annapurna_002,2024-12-01,63635.0,716572.1,701588.09,0,9
msme_annapurna_002,2025-01-01,64052.06,714394.92,682423.34,1,8
msme_annapurna_002,2025-02-01,39232.86,457726.69,436298.27,3,12
msme_annapurna_002,2025-03-01,39409.65,470338.1,439794.46,2,14
msme_annapurna_002,2025-04-01,34878.62,365960.05,377634.28,0,14
msme_annapurna_002,2025-05-01,44515.48,584572.71,560862.21,3,13
msme_annapurna_002,2025-06-01,47769.25,474202.71,494156.65,2,19
msme_annapurna_002,2025-07-01,44851.26,468506.13,473444.86,1,12
msme_annapurna_002,2025-08-01,59002.06,659419.65,595691.35,0,8
msme_annapurna_002,2025-09-01,43077.9,489763.06,489955.78,4,10
msme_annapurna_002,2025-10-01,56155.64,544913.0,530748.96,1,9
msme_annapurna_002,2025-11-01,52248.95,558475.37,527381.96,1,10
msme_annapurna_002,2025-12-01,43992.17,431750.61,404961.2,1,13
msme_annapurna_002,2026-01-01,60905.11,588748.06,602171.66,1,21
msme_annapurna_002,2026-02-01,43987.13,441854.0,398408.15,0,13
msme_annapurna_002,2026-03-01,35373.5,341222.38,346813.82,1,10
msme_annapurna_002,2026-04-01,57154.95,555341.56,508515.76,3,10
msme_annapurna_002,2026-05-01,38107.07,371851.34,327067.89,4,10
msme_annapurna_002,2026-06-01,34728.82,418590.63,399788.53,3,9
msme_sakhi_001,2024-07-01,594618.8,1640042.65,1675723.83,0,0
msme_sakhi_001,2024-08-01,513323.29,1538674.28,1415181.29,0,0
msme_sakhi_001,2024-09-01,509688.39,1561355.85,1457303.57,0,0
msme_sakhi_001,2024-10-01,521405.12,1758415.55,1790195.24,0,0
msme_sakhi_001,2024-11-01,587399.49,1774632.54,1827183.02,0,0
msme_sakhi_001,2024-12-01,613410.82,1778313.07,1594478.71,0,0
msme_sakhi_001,2025-01-01,592061.76,1553036.87,1544169.71,0,0
msme_sakhi_001,2025-02-01,594378.06,1442511.44,1337554.59,0,0
msme_sakhi_001,2025-03-01,526483.24,1517076.18,1430736.75,0,0
msme_sakhi_001,2025-04-01,490017.73,1474230.76,1477312.31,0,0
msme_sakhi_001,2025-05-01,469195.93,1500334.13,1532463.27,0,0
msme_sakhi_001,2025-06-01,549844.56,1625621.3,1635439.05,0,0
msme_sakhi_001,2025-07-01,560229.83,1765118.56,1613696.99,0,0
msme_sakhi_001,2025-08-01,561817.39,1534852.82,1491988.98,0,0
msme_sakhi_001,2025-09-01,498097.88,1422706.17,1387883.83,0,0
msme_sakhi_001,2025-10-01,631437.81,1674509.8,1678624.72,0,0
msme_sakhi_001,2025-11-01,725972.79,1903283.02,1932060.45,0,0
msme_sakhi_001,2025-12-01,643549.06,1832803.54,1867234.56,0,0
msme_sakhi_001,2026-01-01,641472.95,1689117.79,1578568.94,0,0
msme_sakhi_001,2026-02-01,589555.68,1545105.35,1551095.35,0,0
msme_sakhi_001,2026-03-01,529208.4,1449973.77,1430687.17,0,0
msme_sakhi_001,2026-04-01,707110.14,1689346.51,1655350.44,0,0
msme_sakhi_001,2026-05-01,607356.9,1632657.34,1513221.01,0,0
msme_sakhi_001,2026-06-01,566729.8,1766315.89,1789645.82,0,0
