msme_id,month,ondc_orders,ecommerce_orders,gmb_rating,gmb_review_count
msme_annapurna_002,2024-07-01,5,13,3.2,12
msme_annapurna_002,2024-08-01,2,13,3.2,16
msme_annapurna_002,2024-09-01,8,11,3.2,19
msme_annapurna_002,2024-10-01,7,7,3.2,30
msme_annapurna_002,2024-11-01,5,8,3.2,28
msme_annapurna_002,2024-12-01,5,13,3.2,37
msme_annapurna_002,2025-01-01,8,10,3.2,39
msme_annapurna_002,2025-02-01,6,10,3.2,42
msme_annapurna_002,2025-03-01,5,6,3.2,56
msme_annapurna_002,2025-04-01,6,16,3.2,59
msme_annapurna_002,2025-05-01,7,10,3.2,61
msme_annapurna_002,2025-06-01,6,10,3.2,66
msme_annapurna_002,2025-07-01,4,14,3.2,72
msme_annapurna_002,2025-08-01,9,14,3.2,79
msme_annapurna_002,2025-09-01,4,13,3.2,82
msme_annapurna_002,2025-10-01,4,11,3.2,84
msme_annapurna_002,2025-11-01,5,12,3.2,93
msme_annapurna_002,2025-12-01,10,15,3.2,100
msme_annapurna_002,2026-01-01,9,10,3.2,107
msme_annapurna_002,2026-02-01,3,11,3.2,105
msme_annapurna_002,2026-03-01,5,16,3.2,112
msme_annapurna_002,2026-04-01,3,18,3.2,117
msme_annapurna_002,2026-05-01,10,22,3.2,123
msme_annapurna_002,2026-06-01,5,25,3.2,124
msme_sakhi_001,2024-07-01,45,75,4.5,120
msme_sakhi_001,2024-08-01,39,95,4.5,125
msme_sakhi_001,2024-09-01,45,65,4.5,128
msme_sakhi_001,2024-10-01,43,68,4.5,136
msme_sakhi_001,2024-11-01,40,78,4.5,141
msme_sakhi_001,2024-12-01,50,83,4.5,142
msme_sakhi_001,2025-01-01,41,95,4.5,150
msme_sakhi_001,2025-02-01,38,110,4.5,153
msme_sakhi_001,2025-03-01,49,96,4.5,158
msme_sakhi_001,2025-04-01,42,93,4.5,166
msme_sakhi_001,2025-05-01,45,106,4.5,171
msme_sakhi_001,2025-06-01,52,98,4.5,177
msme_sakhi_001,2025-07-01,44,104,4.5,182
msme_sakhi_001,2025-08-01,50,115,4.5,187
msme_sakhi_001,2025-09-01,50,123,4.5,190
msme_sakhi_001,2025-10-01,52,90,4.5,196
msme_sakhi_001,2025-11-01,51,99,4.5,198
msme_sakhi_001,2025-12-01,62,120,4.5,208
msme_sakhi_001,2026-01-01,78,127,4.5,205
msme_sakhi_001,2026-02-01,68,123,4.5,214
msme_sakhi_001,2026-03-01,56,126,4.5,222
msme_sakhi_001,2026-04-01,47,116,4.5,222
msme_sakhi_001,2026-05-01,60,122,4.5,229
msme_sakhi_001,2026-06-01,56,121,4.5,238
