msme_id,month,p2m_count,p2m_value,p2p_count,p2p_value,unique_counterparties
msme_annapurna_002,2024-07-01,132,158666.32,161,193925.5,5
msme_annapurna_002,2024-08-01,130,156501.89,159,191280.09,4
msme_annapurna_002,2024-09-01,137,164641.14,167,201228.05,4
msme_annapurna_002,2024-10-01,191,229439.06,233,280425.51,4
msme_annapurna_002,2024-11-01,94,113744.91,115,139021.56,5
msme_annapurna_002,2024-12-01,224,268859.84,273,328606.47,4
msme_annapurna_002,2025-01-01,211,254307.3,259,310820.03,5
msme_annapurna_002,2025-02-01,139,167048.05,170,204169.84,5
msme_annapurna_002,2025-03-01,148,178081.95,181,217655.71,4
msme_annapurna_002,2025-04-01,112,134808.56,137,164766.01,6
msme_annapurna_002,2025-05-01,180,217157.91,221,265415.22,5
msme_annapurna_002,2025-06-01,146,176189.27,179,215342.44,5
msme_annapurna_002,2025-07-01,143,172518.89,175,210856.42,4
msme_annapurna_002,2025-08-01,206,247948.75,252,303048.47,4
msme_annapurna_002,2025-09-01,148,178021.14,181,217581.4,6
msme_annapurna_002,2025-10-01,171,206129.63,209,251936.22,4
msme_annapurna_002,2025-11-01,174,209172.58,213,255655.38,3
msme_annapurna_002,2025-12-01,134,161488.13,164,197374.38,5
msme_annapurna_002,2026-01-01,181,218301.2,222,266812.58,4
msme_annapurna_002,2026-02-01,138,166759.58,169,203817.27,4
msme_annapurna_002,2026-03-01,106,128079.6,130,156541.74,5
msme_annapurna_002,2026-04-01,171,205299.29,209,250921.36,4
msme_annapurna_002,2026-05-01,116,139344.29,141,170309.69,5
msme_annapurna_002,2026-06-01,129,154945.62,157,189377.98,4
msme_artisantextiles_008,2024-07-01,44,53949.9,29,35966.6,3
msme_artisantextiles_008,2024-08-01,31,37531.32,20,25020.88,4
msme_artisantextiles_008,2024-09-01,24,29428.3,16,19618.86,3
msme_artisantextiles_008,2024-10-01,42,50499.17,28,33666.11,4
msme_artisantextiles_008,2024-11-01,30,37087.38,20,24724.92,3
msme_artisantextiles_008,2024-12-01,49,59366.21,32,39577.47,4
msme_artisantextiles_008,2025-01-01,42,51333.79,28,34222.52,3
msme_artisantextiles_008,2025-02-01,48,57927.81,32,38618.54,3
msme_artisantextiles_008,2025-03-01,37,44429.83,24,29619.89,4
msme_artisantextiles_008,2025-04-01,51,62385.66,34,41590.44,4
msme_artisantextiles_008,2025-05-01,44,52823.33,29,35215.55,4
msme_artisantextiles_008,2025-06-01,51,61562.86,34,41041.91,3
msme_artisantextiles_008,2025-07-01,31,37923.28,21,25282.19,4
msme_artisantextiles_008,2025-08-01,33,39934.76,22,26623.18,4
msme_artisantextiles_008,2025-09-01,42,51555.98,28,34370.65,4
msme_artisantextiles_008,2025-10-01,35,42658.35,23,28438.9,4
msme_artisantextiles_008,2025-11-01,28,33729.84,18,22486.56,3
msme_artisantextiles_008,2025-12-01,32,39277.42,21,26184.95,3
msme_artisantextiles_008,2026-01-01,38,46605.72,25,31070.48,4
msme_artisantextiles_008,2026-02-01,41,49665.77,27,33110.51,4
msme_artisantextiles_008,2026-03-01,27,33277.55,18,22185.03,3
msme_artisantextiles_008,2026-04-01,48,58707.31,32,39138.2,3
msme_artisantextiles_008,2026-05-01,60,72351.48,40,48234.32,3
msme_artisantextiles_008,2026-06-01,39,46889.84,26,31259.89,4
msme_chaiexpress_007,2024-07-01,420,504148.47,105,126037.12,43
msme_chaiexpress_007,2024-08-01,392,470572.13,98,117643.03,58
msme_chaiexpress_007,2024-09-01,392,470876.67,98,117719.17,46
msme_chaiexpress_007,2024-10-01,431,517924.51,107,129481.13,70
msme_chaiexpress_007,2024-11-01,510,612755.26,127,153188.81,89
msme_chaiexpress_007,2024-12-01,496,595661.5,124,148915.38,35
msme_chaiexpress_007,2025-01-01,361,433486.83,90,108371.71,65
msme_chaiexpress_007,2025-02-01,732,879581.98,183,219895.5,66
msme_chaiexpress_007,2025-03-01,515,618772.62,128,154693.15,75
msme_chaiexpress_007,2025-04-01,746,896226.68,186,224056.67,56
msme_chaiexpress_007,2025-05-01,803,964122.21,200,241030.55,52
msme_chaiexpress_007,2025-06-01,602,723114.04,150,180778.51,51
msme_chaiexpress_007,2025-07-01,787,945014.46,196,236253.61,57
msme_chaiexpress_007,2025-08-01,1039,1247974.91,259,311993.73,55
msme_chaiexpress_007,2025-09-01,705,846958.01,176,211739.5,53
msme_chaiexpress_007,2025-10-01,600,720187.93,150,180046.98,70
msme_chaiexpress_007,2025-11-01,1016,1219707.21,254,304926.8,65
msme_chaiexpress_007,2025-12-01,854,1025956.97,213,256489.24,60
msme_chaiexpress_007,2026-01-01,1123,1347971.28,280,336992.82,55
msme_chaiexpress_007,2026-02-01,776,931861.35,194,232965.34,63
msme_chaiexpress_007,2026-03-01,873,1047632.67,218,261908.17,73
msme_chaiexpress_007,2026-04-01,1146,1375904.66,286,343976.16,47
msme_chaiexpress_007,2026-05-01,907,1089522.63,226,272380.66,52
msme_chaiexpress_007,2026-06-01,1622,1946624.42,405,486656.1,64
msme_elitemotors_006,2024-07-01,894,1073779.8,47,56514.73,12
msme_elitemotors_006,2024-08-01,739,887014.14,38,46684.95,10
msme_elitemotors_006,2024-09-01,806,967397.77,42,50915.67,12
msme_elitemotors_006,2024-10-01,841,1009756.65,44,53145.09,11
