msme_id,month,utility_type,units_consumed,sanctioned_load,payment_delay_days
msme_annapurna_002,2024-07-01,electricity,1461.8,20.0,0
msme_annapurna_002,2024-08-01,electricity,1461.38,20.0,0
msme_annapurna_002,2024-09-01,electricity,1324.81,20.0,24
msme_annapurna_002,2024-10-01,electricity,1478.46,20.0,0
msme_annapurna_002,2024-11-01,electricity,1503.82,20.0,0
msme_annapurna_002,2024-12-01,electricity,1483.6,20.0,0
msme_annapurna_002,2025-01-01,electricity,1670.12,20.0,3
msme_annapurna_002,2025-02-01,electricity,1771.29,20.0,0
msme_annapurna_002,2025-03-01,electricity,1822.62,20.0,0
msme_annapurna_002,2025-04-01,electricity,1764.38,20.0,7
msme_annapurna_002,2025-05-01,electricity,1741.48,20.0,8
msme_annapurna_002,2025-06-01,electricity,1687.57,20.0,30
msme_annapurna_002,2025-07-01,electricity,1628.04,20.0,1
msme_annapurna_002,2025-08-01,electricity,1268.37,20.0,0
msme_annapurna_002,2025-09-01,electricity,1442.71,20.0,0
msme_annapurna_002,2025-10-01,electricity,0.0,20.0,45
msme_annapurna_002,2025-11-01,electricity,1456.64,20.0,3
msme_annapurna_002,2025-12-01,electricity,1602.19,20.0,0
msme_annapurna_002,2026-01-01,electricity,1785.77,20.0,0
msme_annapurna_002,2026-02-01,electricity,1710.62,20.0,0
msme_annapurna_002,2026-03-01,electricity,1927.71,20.0,13
msme_annapurna_002,2026-04-01,electricity,1936.27,20.0,0
msme_annapurna_002,2026-05-01,electricity,1655.96,20.0,0
msme_annapurna_002,2026-06-01,electricity,1627.2,20.0,0
msme_artisantextiles_008,2024-07-01,electricity,1675.35,35.0,1
msme_artisantextiles_008,2024-08-01,electricity,1530.69,35.0,2
msme_artisantextiles_008,2024-09-01,electricity,1590.9,35.0,0
msme_artisantextiles_008,2024-10-01,electricity,1600.57,35.0,0
msme_artisantextiles_008,2024-11-01,electricity,1628.23,35.0,0
msme_artisantextiles_008,2024-12-01,electricity,1860.86,35.0,0
msme_artisantextiles_008,2025-01-01,electricity,1809.4,35.0,12
msme_artisantextiles_008,2025-02-01,electricity,1746.52,35.0,0
msme_artisantextiles_008,2025-03-01,electricity,2186.09,35.0,9
msme_artisantextiles_008,2025-04-01,electricity,0.0,35.0,45
msme_artisantextiles_008,2025-05-01,electricity,2103.06,35.0,0
msme_artisantextiles_008,2025-06-01,electricity,1943.67,35.0,15
msme_artisantextiles_008,2025-07-01,electricity,1770.17,35.0,7
msme_artisantextiles_008,2025-08-01,electricity,1463.12,35.0,8
msme_artisantextiles_008,2025-09-01,electricity,1569.73,35.0,12
msme_artisantextiles_008,2025-10-01,electricity,1626.73,35.0,0
msme_artisantextiles_008,2025-11-01,electricity,1658.59,35.0,0
msme_artisantextiles_008,2025-12-01,electricity,1869.14,35.0,7
msme_artisantextiles_008,2026-01-01,electricity,0.0,35.0,45
msme_artisantextiles_008,2026-02-01,electricity,2118.21,35.0,22
msme_artisantextiles_008,2026-03-01,electricity,1871.0,35.0,17
msme_artisantextiles_008,2026-04-01,electricity,1919.47,35.0,11
msme_artisantextiles_008,2026-05-01,electricity,2074.62,35.0,17
msme_artisantextiles_008,2026-06-01,electricity,0.0,35.0,45
msme_chaiexpress_007,2024-07-01,electricity,2591.54,50.0,0
msme_chaiexpress_007,2024-08-01,electricity,2332.16,50.0,0
msme_chaiexpress_007,2024-09-01,electricity,2492.88,50.0,0
msme_chaiexpress_007,2024-10-01,electricity,2407.6,50.0,0
msme_chaiexpress_007,2024-11-01,electricity,2641.46,50.0,0
msme_chaiexpress_007,2024-12-01,electricity,2928.27,50.0,0
msme_chaiexpress_007,2025-01-01,electricity,3229.81,50.0,0
msme_chaiexpress_007,2025-02-01,electricity,3331.44,50.0,4
msme_chaiexpress_007,2025-03-01,electricity,3306.93,50.0,0
msme_chaiexpress_007,2025-04-01,electricity,3148.72,50.0,0
msme_chaiexpress_007,2025-05-01,electricity,2952.79,50.0,0
msme_chaiexpress_007,2025-06-01,electricity,2613.12,50.0,0
msme_chaiexpress_007,2025-07-01,electricity,2730.3,50.0,5
msme_chaiexpress_007,2025-08-01,electricity,2439.66,50.0,0
msme_chaiexpress_007,2025-09-01,electricity,2367.74,50.0,0
msme_chaiexpress_007,2025-10-01,electricity,2530.77,50.0,0
msme_chaiexpress_007,2025-11-01,electricity,2525.4,50.0,0
msme_chaiexpress_007,2025-12-01,electricity,2770.04,50.0,0
msme_chaiexpress_007,2026-01-01,electricity,3173.46,50.0,0
msme_chaiexpress_007,2026-02-01,electricity,3188.75,50.0,0
msme_chaiexpress_007,2026-03-01,electricity,3286.76,50.0,0
msme_chaiexpress_007,2026-04-01,electricity,3306.43,50.0,0
msme_chaiexpress_007,2026-05-01,electricity,2990.2,50.0,0
msme_chaiexpress_007,2026-06-01,electricity,2578.93,50.0,0
msme_elitemotors_006,2024-07-01,electricity,8748.82,150.0,0
msme_elitemotors_006,2024-08-01,electricity,8137.74,150.0,0
msme_elitemotors_006,2024-09-01,electricity,7785.67,150.0,0
msme_elitemotors_006,2024-10-01,electricity,8118.65,150.0,0
